domain,xcoord,ycoord
Gulf Rifted Margin,-116.100093523411502,32.715240489289457
Gulf Rifted Margin,-116.133260698675002,32.739608209891209
Gulf Rifted Margin,-116.175904209728003,32.820833945230383
Gulf Rifted Margin,-116.201625692585395,32.851293595982561
Gulf Rifted Margin,-116.249007371533295,32.904090323953021
Gulf Rifted Margin,-116.253068658300293,32.916951065381717
Gulf Rifted Margin,-116.276759497774194,32.941318785983469
Gulf Rifted Margin,-116.309249791909807,32.958240814179128
Gulf Rifted Margin,-116.339709442661999,32.969070912224353
Gulf Rifted Margin,-116.353755606009898,32.983155048603493
Gulf Rifted Margin,-116.350782541032103,32.995047308514494
Gulf Rifted Margin,-116.338890281121095,33.000002416810737
Gulf Rifted Margin,-116.318078826276803,33.001984460129243
Gulf Rifted Margin,-116.287357154840095,33.001984460129243
Gulf Rifted Margin,-116.268527743314294,33.007930590084747
Gulf Rifted Margin,-116.267536721655105,33.021804893314261
Gulf Rifted Margin,-116.274473873269798,33.033697153225269
Gulf Rifted Margin,-116.312132696321299,33.061445759684283
Gulf Rifted Margin,-116.355737649328404,33.078293127891548
Gulf Rifted Margin,-116.369611952557904,33.106041734350562
Gulf Rifted Margin,-116.363665822602400,33.139736470765087
Gulf Rifted Margin,-116.292312263136296,33.127844210854079
Gulf Rifted Margin,-116.304204523047304,33.143700557402077
Gulf Rifted Margin,-116.345827432735902,33.153610773994593
Gulf Rifted Margin,-116.378531147491103,33.180368358794361
Gulf Rifted Margin,-116.401324645653901,33.212081051890380
Gulf Rifted Margin,-116.404297710631695,33.267578264808421
Gulf Rifted Margin,-116.395378515698397,33.298299936245193
Gulf Rifted Margin,-116.399342602335395,33.363707365755729
Gulf Rifted Margin,-116.298258393091800,33.295326871267427
Gulf Rifted Margin,-116.296276349773294,33.308210152837702
Gulf Rifted Margin,-116.301231458069594,33.324066499385701
Gulf Rifted Margin,-116.306186566365795,33.350824084185469
Gulf Rifted Margin,-116.308168609684301,33.372626560688992
Gulf Rifted Margin,-116.304204523047304,33.384518820599993
Gulf Rifted Margin,-116.194201118870495,33.321093434407949
Gulf Rifted Margin,-116.188254988915006,33.334967737637463
Gulf Rifted Margin,-116.200147248825999,33.369653495711233
Gulf Rifted Margin,-116.202129292144505,33.397402102170247
Gulf Rifted Margin,-116.211048487077804,33.412267427059007
Gulf Rifted Margin,-116.210057465418501,33.427132751947767
Gulf Rifted Margin,-116.197174183848304,33.444971141814293
Gulf Rifted Margin,-116.208075422099995,33.471728726614060
Gulf Rifted Margin,-116.192219075552003,33.516324701280340
Gulf Rifted Margin,-116.216994617033293,33.563893740924371
Gulf Rifted Margin,-116.239788115196006,33.579750087472377
Gulf Rifted Margin,-116.280420003225302,33.658040798553181
Gulf Rifted Margin,-116.296276349773294,33.691735534967698
Gulf Rifted Margin,-116.301231458069594,33.708582903174957
Gulf Rifted Margin,-116.327989042869405,33.713538011471208
Gulf Rifted Margin,-116.366638887580095,33.704618816537959
Gulf Rifted Margin,-116.397360559016903,33.717502098108220
Gulf Rifted Margin,-116.433037338749898,33.755160921159742
Gulf Rifted Margin,-116.472678205119905,33.779936462641011
Gulf Rifted Margin,-116.513310093149201,33.792819744211258
Gulf Rifted Margin,-116.574753436022803,33.866155346995811
Gulf Rifted Margin,-116.607457150778004,33.888948845158581
Gulf Rifted Margin,-116.689711948495798,33.909760300002837
Gulf Rifted Margin,-116.739530893013495,33.942227029803391
Gulf Rifted Margin,-116.736740641663204,33.942606486580168
Gulf Rifted Margin,-116.735461802754799,33.942793060157683
Gulf Rifted Margin,-116.733426779540096,33.943288990603001
Gulf Rifted Margin,-116.731649026741096,33.943908122649788
Gulf Rifted Margin,-116.730543989605906,33.944329940625977
Gulf Rifted Margin,-116.729576711982602,33.944961390777493
Gulf Rifted Margin,-116.727311379597595,33.945960432800732
Gulf Rifted Margin,-116.725760898843902,33.946661507099172
Gulf Rifted Margin,-116.724343406835501,33.947641249913538
Gulf Rifted Margin,-116.722896536070806,33.948351962328537
Gulf Rifted Margin,-116.721168702586397,33.948943504029003
Gulf Rifted Margin,-116.719453422006595,33.949630805760172
Gulf Rifted Margin,-116.717287833925198,33.949511824238108
Gulf Rifted Margin,-116.716016422621095,33.949595762438868
Gulf Rifted Margin,-116.714920832352504,33.949677771327877
Gulf Rifted Margin,-116.711355188350794,33.949868053461067
Gulf Rifted Margin,-116.709722640975201,33.950093968987133
Gulf Rifted Margin,-116.706683568799505,33.950824805573831
Gulf Rifted Margin,-116.705561238516907,33.950979381993818
Gulf Rifted Margin,-116.700654428886907,33.950970315481321
Gulf Rifted Margin,-116.699103643710899,33.950764368095271
Gulf Rifted Margin,-116.696522648051499,33.950663166203270
Gulf Rifted Margin,-116.694846974710700,33.950640757290479
Gulf Rifted Margin,-116.693523383832996,33.950823188611807
Gulf Rifted Margin,-116.692063080361606,33.950700310566113
Gulf Rifted Margin,-116.682863733933104,33.950165459871528
Gulf Rifted Margin,-116.675210040314198,33.949684405173862
Gulf Rifted Margin,-116.673025911832895,33.949423605693163
Gulf Rifted Margin,-116.661446903220295,33.948012861581972
Gulf Rifted Margin,-116.650193895445696,33.946830180911903
Gulf Rifted Margin,-116.647223680494804,33.946532648362272
Gulf Rifted Margin,-116.645803064031796,33.946374459017768
Gulf Rifted Margin,-116.641522897113305,33.945990914272748
Gulf Rifted Margin,-116.633789052923703,33.945232190199768
Gulf Rifted Margin,-116.631782436703901,33.944907071834017
Gulf Rifted Margin,-116.629089423123602,33.944313650412887
Gulf Rifted Margin,-116.621238189086100,33.942533737416298
Gulf Rifted Margin,-116.611763484285305,33.940500041783508
Gulf Rifted Margin,-116.609410380455401,33.939925022235322
Gulf Rifted Margin,-116.607564123281094,33.939420136889467
Gulf Rifted Margin,-116.604900537663795,33.938671059641251
Gulf Rifted Margin,-116.602643350549698,33.938042106926623
Gulf Rifted Margin,-116.594925411761494,33.935859615755227
Gulf Rifted Margin,-116.589663901210500,33.934432736882620
Gulf Rifted Margin,-116.581956973531106,33.932285408084446
Gulf Rifted Margin,-116.579312076735107,33.931505757433563
Gulf Rifted Margin,-116.578273673390896,33.931169414498001
Gulf Rifted Margin,-116.573763085929500,33.929611056030922
Gulf Rifted Margin,-116.567181321317904,33.927336427416741
Gulf Rifted Margin,-116.565232056596997,33.926655384741373
Gulf Rifted Margin,-116.563803116606493,33.926142022412478
Gulf Rifted Margin,-116.559459438020397,33.924584369869272
Gulf Rifted Margin,-116.556106157933698,33.923368495095403
Gulf Rifted Margin,-116.547499965697995,33.920236732390933
Gulf Rifted Margin,-116.545357651896396,33.919475116919159
Gulf Rifted Margin,-116.538726422426095,33.917247199588417
Gulf Rifted Margin,-116.529878701377001,33.914280577258708
Gulf Rifted Margin,-116.528036743244499,33.913661716641570
Gulf Rifted Margin,-116.525260258042593,33.912646621591520
Gulf Rifted Margin,-116.515873078823603,33.909073428573272
