name,area,aabb,zone,zabb,section,sabb,fault,fabb
MJVA-HSLZ-SBMT-Southern_Helendale_fault-CFM5,Mojave Fault Area,MJVA,Helendale-South Lockhart fault zone,HSLZ,Eastern San Bernardino Mtns,SBMT,Southern Helendale fault,SHDF
MJVA-JVFZ-MULT-Johnson_Valley_fault-CFM5,Mojave Fault Area,MJVA,Johnson Valley-Homestead Valley fault zone,JVHZ,North-South Johnson Valley,MULT,Johnson Valley fault,JSVF
MJVA-JVFZ-SJVS-Kickapoo_fault-CFM3,Mojave Fault Area,MJVA,Johnson Valley-Homestead Valley fault zone,JVHZ,Southern Johnson Valley,SJVS,Kickapoo fault,KCPF
MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,Mojave Fault Area,MJVA,Johnson Valley-Homestead Valley fault zone,JVHZ,Homestead Valley,HMSV,Homestead Valley fault,HSVF
MJVA-LCLZ-CLGL-Cleghorn_Lake_fault-CFM5,Mojave Fault Area,MJVA,Ludlow-Cleghorn Lake fault zone,LCLZ,Cleghorn Lake,CLGL,Cleghorn Lake fault,CLGF
MJVA-LCLZ-LDLW-Ludlow_fault-CFM5,Mojave Fault Area,MJVA,Ludlow-Cleghorn Lake fault zone,LCLZ,Ludlow,LDLW,Ludlow fault,LDLF
MJVA-LLBM-MULT-Lavic_Lake_North_West_Bullion_fault-CFM3,Mojave Fault Area,MJVA,Lavic Lake-Bullion Mountains fault zone,LLBM,Multiple sections,MULT,Lavic Lake-North West Bullion fault,LLWB
MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,Mojave Fault Area,MJVA,Lenwood-Lockhart fault zone,LWLZ,Multiple sections,MULT,Lenwood-Lockhart fault,LWLF
MJVA-NEMV-GRLS-Garlic_Spring_fault-CFM5,Mojave Fault Area,MJVA,Northeast Mojave faults,NEMV,Garlic Springs,GRLS,Garlic Springs fault,GRSF
MJVA-NEMV-RDPS-Red_Pass_fault-CFM5,Mojave Fault Area,MJVA,Northeast Mojave faults,NEMV,Red Pass,RDPS,Red Pass fault,RDPF
MJVA-PBMZ-EBLS-East_Bullion_Valley_Mountain_fault-CFM5,Mojave Fault Area,MJVA,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,East Bullion,EBLS,East Bullion-Valley Mountain fault,EBVM
MJVA-PBMZ-MSQL-Mesquite_Lake_fault-CFM5,Mojave Fault Area,MJVA,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,Mesquite Lake,MSQL,Mesquite Lake fault,MQLF
MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,Mojave Fault Area,MJVA,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,Pisgah-West_Bullion,MULT,Pisgah-Bullion-West_Bullion fault,PBWB
MJVA-PBMZ-WBLS-West_Bullion_fault-CFM5,Mojave Fault Area,MJVA,Pisgah-Bullion-Mesquite Lake fault zone,PBMZ,West Bullion,WBLS,West Bullion fault,WBLF
OCBA-CBFZ-EAST-Coronado_Bank_east_splay-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Eastern splay,EAST,Coronado Bank east splay,CRBE
OCBA-CBFZ-NCBF-Coronado_Bank_fault_north-SRLN-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Northern Coronado Bank,NCBF,Coronado Bank fault,CRBF
