name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
OCBA-DSCS-RCNT-Descanso_RC_transfer_fault_alt1-SRLN-CVMH-CFM5,2,UCSB,CFM5,,,,,,,,"Sorlien et al., 2015",,,missing
OCBA-DSCS-WEST-Descanso_fault_west_splay-SRLN-CFM5,1,UCSB,CFM5,west splay - Sorlien model,SRLN,154.769,31.6831,65051100,,,"Sorlien et al., 2015",,,missing
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_A-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,302.8573,12.9818,235452000,,,,,,missing
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_B-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,299.2662,24.0654,202828000,,,,,,missing
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_D-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,318.8224,16.2963,82026000,,,,,,missing
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_E-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,335.2898,35.3273,65428700,,,,,,missing
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_main-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,314.3149,15.8342,332902000,,,,,,missing
OCBA-FRFZ-SRRS-Ferrelo_fault_upper-SRLN-CFM5,1,UCSB,CFM5,Sorlien model,SRLN,331.6588,33.6014,400497000,,,,,,missing
OCBA-IBFS-SCTI-Catalina_Island_detachment_upper_alt1-SRLN-CVMH-CFM5,2,UCSB,CFM5,,,,,,,,"Sorlien et al., 2003",,,missing
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_east-SRLN-CFM5,1,UCSB,CFM5,,,315.2409,10.9998,95675900,,,"Sorlien et al., 2003",,,missing
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_mid-SRLN-CFM5,1,UCSB,CFM5,,,299.1879,8.93987,65333700,,,"Sorlien et al., 2003",,,missing
OCBA-IBFS-SMBY-Santa_Monica_Bay_detachment_west_regrid-SRLN-CFM5,1,UCSB,CFM5,,,268.214,10.5514,110937000,,,"Sorlien et al., 2003",,,missing
OCBA-IBFS-SMBY-Santa_Monica_Bay_fault_east-SRLN-CFM5,1,UCSB,CFM5,,,295.2656,16.3662,168656000,,,"Sorlien et al., 2003",,,missing
OCBA-IBFS-SMBY-Santa_Monica_Bay_fault_west-SRLN-CFM5,1,UCSB,CFM5,,,270.937314,16.1138,483442000,,,"Sorlien et al., 2003",,,missing
OCBA-NIRC-DANA-Newport_Inglewood_fault-SRLN-CVMH-CFM5,1,UCSB,CFM5,Offshore components of NI-RC system,,320.8469,78.7619,550418000,,,"Sorlien et al., 2015",,,127c
OCBA-NIRC-OCNS-Newport_Inglewood_Rose_Canyon_link-CFM5,1,UCSB,CFM5,Offshore components of NI-RC system,,132.896,82.7185,101138000,,,,,,127d
OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,1,UCSB,CFM5,Offshore components of NI-RC system,,,,1836480000,,,,,,127f
