CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-CLGZ-SBMT-Tunnel_Ridge_Arrastre_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,San Bernardino Mountains,SBMT,Tunnel Ridge-Arrastre Canyon fault,UCSB,CFM5,45,79,239.49,surface,llss,,326+327,Steep model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-CLGZ-SCHS-Cleghorn_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,Southern Cleghorn,SCHS,Cleghorn fault,UCSB,CFM5,96,77,298.71,surface,llss,,108a,Steep model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-LSBM-1992-Joshua_Tree_sequence-CFM6,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,1992 Joshua Tree rupture,1992,Joshua Tree sequence,CMDT,CFM6,179,90,258.38,blind,rlss,,395,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-LSBM-BRMT-Burnt_Mountain_East_Wide_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Burnt Mountain,BRMT,Burnt Mountain-East Wide Canyon,UCSB,CFM5,176,89,315.56,surface,rlss,,119,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-LSBM-ERPK-Eureka_Peak_West_Deception_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Eureka Peak,ERPK,Eureka Peak-West Deception Canyon,UCSB,CFM5,167,89,363.02,surface,rlss,,120,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-LSBM-LGCS-Long_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Long Canyon,LGCS,Long Canyon fault,UCSB,CFM5,355,86,168.36,blind,rlss,,337,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-NFTS-DTMT-Deep_detachment-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Detachment,DTMT,Deep detachment,UCSB,CFM5,75,11,1254.44,blind,r,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-NFTS-EAST-North_Frontal_Thrust_fault-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Eastern,EAST,Eastern North Frontal fault,CMDT,CFM5,101,60,458.81,surface,r,,109b,Low-dip model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-NFTS-WEST-North_Frontal_Thrust_fault-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Western,WEST,Western North Frontal thrust,CMDT,CFM5,83,51,739.28,surface,r,,109a,Low-dip model; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRA-PMFZ-MRVS-Morongo_Valley_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Pinto Mountain fault zone,PMFZ,Morongo Valley,MRVS,Morongo Valley fault,UCSB,CFM5,230,89,269.62,surface,llss,proposed 118c,118,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
