CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num,Fault Zone/Region,Code,Num,Fault Section,Code,Num,Fault Name,Code,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,
SAFS-SAFZ-1812-San_Andreas_fault_rupture-CFM5,01,San Andreas Fault System,SAFS,01,SAFZ rupture models,SAFZ,12,1812 Rupture-Mojave SAF+nSJF,1812,01,1812 San Andreas fault rupture,SAF,02,UCSB,CFM5,LOZS,124,89,2832.06,surface,rlss,,,Lozos 1812 rupture model,"Lozos, 2016 (Science)",,,,,,,,,,,,,,,,,,,,
SAFS-SAFZ-1857-San_Andreas_fault_rupture-CFM5,01,San Andreas Fault System,SAFS,01,SAFZ rupture models,SAFZ,13,1857 Rupture-Parkfield-Mojave,1857,01,1857 San Andreas fault rupture,SAF,01,UCSB,CFM5,,124,88,4459.42,surface,rlss,,1 f-h,,"Wood, 1955 (BSSA), Scharer et al., 2014, (GRL)",,,,,,,,,,,,,,,,,,,,
SALTON TROUGH FAULT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALT-BRSZ-BRSZ-Brawley_Seismic_Zone_boundary-CFM1,02,Salton Trough Fault Area,SALT,01,Brawley Seismic Zone,BRSZ,01,Brawley Seismic Zone,BRSZ,01,Brawley Seismic zone,BSZ,01,HRVD,CFM1,,337,90,1244.84,blind,rlss,,124,"Boundary without Brawley fault, based on relocated seismicity","Plesch et al., 2007 (BSSA), Hauksson & Shearer, 2005 (BSSA)",,,,,,,,,,,,,,,,,,,,
SALT-BRSZ-BRSZ-Brawley_fault-CFM5,02,Salton Trough Fault Area,SALT,01,Brawley Seismic Zone,BRSZ,01,Brawley Seismic Zone,BRSZ,02,Brawley fault,BRWF,01,UCSB,CFM5,,182,90,258.92,surface,rlss,,124,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2013, 2014",,,,,,,,,,,,,,,,,,,,
SALT-IMFZ-IMPV-Imperial_fault_Edip_Nend-CFM5,02,Salton Trough Fault Area,SALT,02,Imperial fault zone,IMFZ,01,Imperial Valley,IMPV,01,Imperial fault,IMPF,02,CMDT,CFM5,FUIS,324,90,766.48,surface,rlss,,132,E-dipping at north end-FUIS; Qfaults + relocated seismicity,"Fuis et al., 1982; Bryant, 2005+updates; Shearer et al., 2005; Hauksson et al., 2012+updates; Nicholson et al., 2013, 2014",,,,,,,,,,,,,,,,,,,,
SALT-IMFZ-IMPV-Imperial_fault_north_end-CFM5,02,Salton Trough Fault Area,SALT,02,Imperial fault zone,IMFZ,01,Imperial Valley,IMPV,01,Imperial fault,IMPF,03,UCSB,CFM5,NSEG,8,88,18.07,surface,rlss,,132,small segment at north end; Qfaults,"Bryant, 2005+updates; Nicholson et al., 2013, 2014",,,,,,,,,,,,,,,,,,,,
SALT-IMFZ-IMPV-Imperial_fault_east_strand_north-CFM5,02,Salton Trough Fault Area,SALT,02,Imperial fault zone,IMFZ,01,Imperial Valley,IMPV,02,Imperial fault-east branch,IMPE,03,UCSB,CFM5,NRTH,329,90,222.82,blind,rlss,,132,inferred east strand-north; blind; from relocated seismicity,"Hauksson et al., 2012+updates; Nicholson et al., 2013, 2014",,,,,,,,,,,,,,,,,,,,
SALT-IMFZ-IMPV-Imperial_fault_east_strand_south-CFM5,02,Salton Trough Fault Area,SALT,02,Imperial fault zone,IMFZ,01,Imperial Valley,IMPV,02,Imperial fault-east branch,IMPE,04,UCSB,CFM5,SOTH,149,90,162.50,blind,rlss,,132,inferred east strand-south; blind; from relocated seismicity,"Hauksson et al., 2012+updates; Nicholson et al., 2013, 2014",,,,,,,,,,,,,,,,,,,,
SALT-CPFZ-CRPB-Cerro_Prieto_fault-CFM1,02,Salton Trough Fault Area,SALT,03,Cerro Prieto fault zone,CPFZ,01,Cerro Prieto basin,CRPB,01,Cerro Prieto fault,CRPF,01,HRVD,CFM1,,130,90,1205.34,surface,rlss,,missing,,"Thomas & Rockwell, 1996 (JGR)",,,,,,,,,,,,,,,,,,,,
SALT-CRSF-SLTS-Extra_fault-CFM3,02,Salton Trough Fault Area,SALT,04,Cross Faults,CRSF,01,Salton Sea,SLTS,01,Extra fault,EXTF,01,HRVD,CFM3,,229,90,524.93,surface,llss,,missing,Seeber model; Qfaults + relocated seismicity,"Hudnut et al., 1988",,,,,,,,,,,,,,,,,,,,
SALT-CRSF-IMPV-Elmore_Ranch_fault-CFM1,02,Salton Trough Fault Area,SALT,04,Cross Faults,CRSF,02,Imperial Valley,IMPV,01,Elmore Ranch fault,ELRF,01,HRVD,CFM1,CFM,214,90,396.43,blind,llss,propose crossfault id,125f,Qfaults + relocated seismicity,"Nicholson et al., 1986; Nicholson and Seeber, 1989; Hudnut et al., 1989; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
SALT-CRSF-IMPV-Westmorland_fault_main-CFM4,02,Salton Trough Fault Area,SALT,04,Cross Faults,CRSF,02,Imperial Valley,IMPV,02,Westmorland fault,WMLF,01,CMDT,CFM4,MAIN,38,90,169.39,blind,llss,,missing,main; from relocated seismicity,"Nicholson et al., 1986; Nicholson and Seeber, 1989; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
SALT-CRSF-IMPV-Westmorland_fault_splay-CFM4,02,Salton Trough Fault Area,SALT,04,Cross Faults,CRSF,02,Imperial Valley,IMPV,03,Westmorland fault splay,WMLS,01,CMDT,CFM4,SPLY,60,90,66.88,blind,llss,,missing,splay; from relocated seismicity,"Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PENINSULAR RANGES AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SBRN-San_Jacinto_Claremont_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,01,San Bernardino,SBRN,01,San Jacinto-Claremont fault,SJCF,01,UCSB,CFM4,MAIN,313,87,817.99,surface,rlss,,125a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SBRN-Loma_Linda_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,01,San Bernardino,SBRN,02,Loma Linda fault,LLNF,01,UCSB,CFM4,CFM4,320,87,223.70,surface,rlss,,125a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SBRN-Rialto_Colton_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,01,San Bernardino,SBRN,03,Rialto-Colton fault,RCLF,01,UCSB,CFM4,CFM4,308,85,225.81,surface,rlss,,125a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SBRN-Glen_Helen_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,01,San Bernardino,SBRN,04,Glen Helen fault,GHNF,01,UCSB,CFM4,ALT1,311,87,227.87,surface,rlss,,125a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SBRN-Lytle_Creek_fault-CFM5,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,01,San Bernardino,SBRN,05,Lytle Creek fault,LTCF,03,CMDT,CFM5,CFM5,312,89,343.00,surface,rlss,,125a,increasing dip towards dipping San Jacinto,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2018",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SJCV-Claremont_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,02,San Jacinto Valley,SJCV,01,Claremont fault,CLMF,01,UCSB,CFM4,CFM4,135,84,685.50,surface,rlss,,125b,Main; Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SJCV-San_Jacinto_Claremont_fault_east-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,02,San Jacinto Valley,SJCV,01,Claremont fault,CLMF,02,UCSB,CFM4,EAST,315,88,186.83,surface,rlss,,125b,east branch; Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SJCV-Casa_Loma_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,02,San Jacinto Valley,SJCV,02,Casa Loma fault,CSLF,01,UCSB,CFM4,ALT1,133,88,467.10,surface,rlss,,125b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
PNRA-SJFZ-SJCV-Hot_Springs_fault-CFM4,03,Peninsular Ranges Area,PNRA,01,San Jacinto fault zone,SJFZ,02,San Jacinto Valley,SJCV,03,Hot Springs fault,HSPF,01,UCSB,CFM4,MAIN,128,87,687.91,surface,rlss,,125b,Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Nicholson et al., 2011",,,,,,,,,,,,,,,,,,,,
