name,area,aabb,zone,zabb,section,sabb,fault
OCBA-OCSD-OCNS-Oceanside_fault_south_east_A-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-A
OCBA-OCSD-OCNS-Oceanside_fault_south_east_B-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-B
OCBA-OCSD-OCNS-Oceanside_fault_south_east_C-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-C
OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Multiple sections,MULT,Palos Verdes fault
OCBA-PVFZ-RDNC-Redondo_Canyon_fault-CFM6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Redondo Canyon,RDNC,Redondo Canyon fault
OCBA-SCCR-MULT-Santa_Cruz_Catalina_Ridge_fault-CFM5,Offshore Continental Borderland Area,OCBA,Santa Cruz-Catalina Ridge fault system,SCCR,Multiple Sections,MULT,Santa Cruz-Catalina Ridge fault
OCBA-SCFZ-CTLB-San_Clemente_fault_splay-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,Catalina Basin,CTLB,San Clemente fault splay
OCBA-SCFZ-SBRI-San_Clemente_fault_nw_strand-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,Santa Barbara Island area,SBRI,San Clemente fault nw-strand
OCBA-SCFZ-SCBR-San_Clemente_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,San Clemente Basin region,SCBR,San Clemente fault
OCBA-SCFZ-SCLI-San_Clemente_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCFZ,San Clemente Island,SCLI,San Clemente fault
OCBA-SDTZ-30MB-San_Diego_Trough_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Thirtymile Bank,30MB,San Diego Trough fault
OCBA-SDTZ-CTLB-San_Diego_Trough_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Catalina Basin,CTLB,San Diego Trough fault
OCBA-SDTZ-SSDT-San_Diego_Trough_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,South San Diego Trough,SSDT,San Diego Trough fault
OCBA-SMBS-EAST-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,East,EAST,Santa Monica Bay detachment
OCBA-SMBS-EAST-Santa_Monica_Bay_fault-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,East,EAST,Santa Monica Bay fault
OCBA-SMBS-MIDS-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Mid,MIDS,Santa Monica Bay detachment
OCBA-SMBS-PVAS-Santa_Monica_Bay_Compton_connector-CFM6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Palos Verdes Anticlinorium,PVAS,Santa Monica Bay-Compton connector
OCBA-SMBS-WEST-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,West,WEST,Santa Monica Bay detachment
OCBA-SMBS-WEST-Santa_Monica_Bay_fault-CFM6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,West,WEST,Santa Monica Bay fault
OCBA-SMCS-SMTO-San_Mateo_splay-CFM5,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Mateo splay
