name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
MJVA-PBMZ-MULT-Pisgah_Bullion_West_Bullion_fault-CFM5,CMDT,CFM5,328,86,1468.29,surface,rlss,,122a-d,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
OCBA-CBFZ-EAST-Coronado_Bank_east_splay-CFM5,UCSB,CFM5,336,40,105.7,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-CBFZ-NCBF-Coronado_Bank_fault_north-CFM5,UCSB,CFM5,334,66,26.47,surface,rlss,,131a,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-CBFZ-SCBF-Coronado_Bank_fault_south-CFM5,UCSB,CFM5,344,23,160.28,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-CBFZ-WEST-Coronado_Bank_west_splay-CFM5,UCSB,CFM5,339,29,35.69,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-CBKD-CRBS-Coronado_Bank_detachment-CFM5,UCSB,CFM5,338,23,1414.34,surface,orlr,,missing,Rivero + lower extension from seismicity; trimmed to seafloor,"Hauksson et al., 2012+updates; Nicholson et al., 2018, 2020; Legg et al., 2018"
OCBA-CBKD-OCNS-Coronado_Bank_detachment_upper-CFM6,UCSB,CFM6,313,32,142.47,surface,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-EAST-Descanso_fault_east_splay-CFM5,UCSB,CFM5,153,57,27.32,surface,orlr,,missing,east splay - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-MAIN-Descanso_fault-CFM5,UCSB,CFM5,153,42,266.09,blind,orlr,,missing,main - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-NRTH-Descanso_fault_A-CFM5,UCSB,CFM5,179,40,27.47,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-NRTH-Descanso_fault_B-CFM5,UCSB,CFM5,182,38,55.28,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-NRTH-Descanso_fault_C-CFM5,UCSB,CFM5,163,55,12.5,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-DSCS-RCNT-Descanso_RoseCanyon_transfer_fault-CFM5,UCSB,CFM5,182,46,74.84,surface,orlr,,missing,Sorlien model from MCS; CVMH,"Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016"
OCBA-DSCS-WEST-Descanso_fault_west_splay-CFM5,UCSB,CFM5,156,34,65.05,surface,orlr,,missing,west splay - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015"
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_A-CFM5,UCSB,CFM5,314,43,235.45,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_B-CFM5,UCSB,CFM5,298,48,202.83,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_D-CFM5,UCSB,CFM5,320,50,82.03,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_E-CFM5,UCSB,CFM5,331,46,65.43,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_main-CFM5,UCSB,CFM5,317,60,332.9,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-FRFZ-SRRS-Ferrelo_fault-CFM5,UCSB,CFM5,333,38,400.5,surface,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017"
OCBA-IBFS-30MB-Thirtymile_Bank_detachment-CFM5,UCSB,CFM5,326,21,2520.83,blind,orlr,,291,upper: mapping from Rivero; lower extension: from aligned seismicity; trimmed to seafloor,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Hauksson et al., 2012+updates; Nicholson et al., 2018, 2020; Legg et al., 2018"
OCBA-IBFS-SCTI-Catalina_Island_detachment_upper-CFM5,UCSB,CFM5,304,34,353.18,blind,orlr,,missing,upper from MCS; Sorlien;CVMH,"Sorlien et al., 2013, 2015; Nicholson et al., 2013"
OCBA-NIRC-DANA-Newport_Inglewood_fault-CFM5,UCSB,CFM5,319,77,550.42,surface,orlr,,127c,Sorlien model from MCS; CVMH,"Sorlien et al., 2015; Plesch et al., 2016; Nicholson, 2017"
OCBA-NIRC-OCNS-Newport_Inglewood_Rose_Canyon_link-CFM5,UCSB,CFM5,135,85,101.13,surface,rlss,,127d,extended + relocated seismicity,"Hauksson et al., 2012+updates; Plesch et al., 2016; Nicholson, 2017"
OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,UCSB,CFM5,160,83,1836.02,surface,orlr,,127f,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016; Nicholson, 2017"
