CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,6,Pinto Mountain fault zone,PMFZ,0,Multiple sections,MULT,1,Pinto Mountain fault,PTMF,1,UCSB,CFM5,,265,90,1166.94,surface,llss,,118,Qfaults + relocated seismicty,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-PMFZ-MORV-Morongo_Valley_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,6,Pinto Mountain fault zone,PMFZ,3,Morongo Valley,MORV,1,Morongo Valley fault,MRVF,1,UCSB,CFM5,,230,89,269.62,surface,llss,proposed 118c,118,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-LSBM-LGCS-Long_Canyon_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,7,Little San Bernadino Mountains fault region,LSBM,1,Long Canyon,LGCS,1,Long Canyon fault,LNCF,1,UCSB,CFM5,,355,86,168.36,blind,rlss,,337,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-LSBM-BRMT-Burnt_Mountain_East_Wide_Canyon_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,7,Little San Bernadino Mountains fault region,LSBM,2,Burnt Mountain,BRMT,0,Burnt Mountain-East Wide Canyon,BMEW,1,UCSB,CFM5,,176,89,315.56,surface,rlss,,119,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-LSBM-ERPK-Eureka_Peak_West_Deception_Canyon_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,7,Little San Bernadino Mountains fault region,LSBM,3,Eureka Peak,ERPK,0,Eureka Peak-West Deception Canyon,EPWD,1,UCSB,CFM5,,167,89,363.02,surface,rlss,,120,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-LSBM-1992-Joshua_Tree_sequence-CFM5,6,Eastern Transverse Ranges Area,ETRA,7,Little San Bernadino Mountains fault region,LSBM,4,1992 Joshua Tree rupture,1992,1,Joshua Tree sequence,JSTS,1,CMDT,CFM5,,179,90,258.38,blind,rlss,,395,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012"
ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,6,Eastern Transverse Ranges Area,ETRA,8,Blue Cut fault zone,BCFZ,0,Multiple sections,MULT,1,Blue Cut fault,BCTF,1,UCSB,CFM5,,87,89,984.45,surface,llss,,290,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-CHRC-STWS-Smoketree_Wash_fault_vertical-CFM5,6,Eastern Transverse Ranges Area,ETRA,9,Chiriaco fault zone,CHRC,1,Smoketree Wash,STWS,1,Smoketree Wash fault,STWF,1,CMDT,CFM5,,262,90,331.45,surface,ollr,,395,historal precedent is Chiriaco fault,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
MJVA-ECSZ-1992-Landers_rupture_detailed_splays-CFM3,7,Mojave Fault Area,MJVA,1,Eastern California shear zone,ECSZ,1,Landers rupture,1992,0,Landers detailed splays,LNDS,1,HRVD,CFM3,,332,90,1559.38,surface,orlr,,,,"Pollitz & Stacks 2002 (BSSA), Bryant 2005+updates, Hauksson et al., 2012+updates"
MJVA-ECSZ-1992-Barstow_Trend-CFM5,7,Mojave Fault Area,MJVA,1,Eastern California shear zone,ECSZ,1,Landers rupture,1992,2,Landers-Barstow trend,LNBT,1,CMDT,CFM5,,341,90,114.44,blind,rlss,,missing,relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2014; Nicholson et al., 2014"
